Product,TradeID,Side,Size,EntryTime,EntryPrice,ExitTime,ExitPrice,ExitChannel,RealizedPNL,UnrealizedPNL
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-200
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,-500,11
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,100,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,214
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,25,100
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,2000,234
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,700
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,-800,234
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
AAPL,ok,S,100,22:22:22,125.35,23:23:23,128.35,MSL,200.35,-100.35
