Product,TradeID,Side,Size,EntryTime,EntryPrice,ExitTime,ExitPrice,ExitChannel,RealizedPNL,UnrealizedPNL
CLK1,CLK1_LONG_2021-04-06 15:50:00,LONG,1.0,15:50:36,,,,,,
CLK1,CLK1_SHORT_2021-04-06 15:50:00,SHORT,1.0,15:50:42,,,,,,
ESM1,ESM1_LONG_2021-04-06 15:50:00,LONG,1.0,15:52:18,4065.75,,,,,0.0
ESM1,ESM1_SHORT_2021-04-06 15:35:00,SHORT,1.0,15:35:27,4063.5,,,,,-2.25
ESM1,ESM1_SHORT_2021-04-06 15:50:00,SHORT,1.0,15:50:29,,,,,,
NGK1,NGK1_LONG_2021-04-06 15:30:00,LONG,1.0,15:31:32,2.465,,,,,-0.0040000000000000036
NGK1,NGK1_LONG_2021-04-06 15:35:00,LONG,1.0,15:35:47,2.465,,,,,-0.0040000000000000036
NGK1,NGK1_LONG_2021-04-06 15:40:00,LONG,1.0,15:40:49,2.465,,,,,-0.004999999999999893
NGK1,NGK1_LONG_2021-04-06 15:45:00,LONG,1.0,15:45:45,2.465,,,,,-0.004999999999999893
NGK1,NGK1_LONG_2021-04-06 15:50:00,LONG,1.0,15:50:49,,,,,,
NGK1,NGK1_SHORT_2021-04-06 15:30:00,SHORT,1.0,15:31:39,2.467,15:39:45,2.463,TP,0.0040000000000000036,
NGK1,NGK1_SHORT_2021-04-06 15:50:00,SHORT,1.0,15:50:55,,,,,,
